,open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
0,1561281000000,484.62000000,484.73000000,482.88000000,482.97000000,131.78062000,1561281059999,63763.60356700,97,15.90035000,7694.23726210
1,1561281060000,482.98000000,483.17000000,482.88000000,482.94000000,99.14038000,1561281119999,47886.78073430,96,63.03096000,30446.63503920
2,1561281120000,482.89000000,483.17000000,481.13000000,481.17000000,70.75743000,1561281179999,34110.00292790,146,23.02816000,11104.78497080
3,1561281180000,481.33000000,481.86000000,480.00000000,481.46000000,402.51137000,1561281239999,193622.97997590,262,164.78918000,79339.60427720
4,1561281240000,481.44000000,481.60000000,480.91000000,480.95000000,154.46263000,1561281299999,74324.76508050,99,91.38248000,43985.07609360
5,1561281300000,480.95000000,481.65000000,480.57000000,481.64000000,547.30907000,1561281359999,263300.95277190,149,516.18476000,248331.17756320
6,1561281360000,481.70000000,482.28000000,481.35000000,482.20000000,85.15744000,1561281419999,41031.11359940,75,64.05900000,30869.99436500
7,1561281420000,482.20000000,482.79000000,482.03000000,482.41000000,98.48518000,1561281479999,47506.52691910,90,65.34557000,31525.73363320
8,1561281480000,482.11000000,482.60000000,481.88000000,482.43000000,82.03627000,1561281539999,39564.55854040,70,56.06973000,27042.66024920
9,1561281540000,482.30000000,482.30000000,481.87000000,482.01000000,37.31580000,1561281599999,17984.85391030,47,2.71932000,1310.76960260
10,1561281600000,482.02000000,482.54000000,481.44000000,481.95000000,237.75502000,1561281659999,114534.04961880,132,62.16409000,29960.87645270
11,1561281660000,481.99000000,481.99000000,480.26000000,480.39000000,192.40316000,1561281719999,92511.18413040,122,45.29921000,21794.81130640
12,1561281720000,480.39000000,481.12000000,478.30000000,478.32000000,726.70293000,1561281779999,348782.51144790,317,92.85902000,44603.60575460
13,1561281780000,478.34000000,480.34000000,478.00000000,479.96000000,280.60941000,1561281839999,134518.20252090,224,171.98057000,82436.36295280
14,1561281840000,479.60000000,479.81000000,477.59000000,478.28000000,164.67373000,1561281899999,78746.58100210,200,61.83198000,29560.92193410
15,1561281900000,478.11000000,479.57000000,477.52000000,479.13000000,332.59752000,1561281959999,159204.13777610,251,162.38299000,77740.68488910
16,1561281960000,478.88000000,479.69000000,477.74000000,479.55000000,83.21128000,1561282019999,39841.57502370,115,23.52165000,11272.46232020
17,1561282020000,479.26000000,480.52000000,479.23000000,480.44000000,164.72851000,1561282079999,79070.86056390,136,62.22651000,29870.75347590
18,1561282080000,480.24000000,480.47000000,479.65000000,480.21000000,108.25255000,1561282139999,51969.46125640,102,69.17174000,33210.21947090
19,1561282140000,480.27000000,481.00000000,480.21000000,481.00000000,11.53318000,1561282199999,5543.06293540,30,6.44474000,3098.51024280
20,1561282200000,480.89000000,482.80000000,480.69000000,482.32000000,119.92693000,1561282259999,57722.78711770,97,23.44984000,11294.52866620
21,1561282260000,482.63000000,484.16000000,482.03000000,482.98000000,257.70438000,1561282319999,124444.07196800,210,113.23155000,54676.36545010
22,1561282320000,483.19000000,485.17000000,482.44000000,484.77000000,285.49948000,1561282379999,138215.43838250,226,104.50443000,50608.94606670
23,1561282380000,484.77000000,485.14000000,483.20000000,483.20000000,160.52063000,1561282439999,77701.27951130,164,22.49604000,10892.53078340
24,1561282440000,483.49000000,484.05000000,482.92000000,483.53000000,102.33143000,1561282499999,49462.03035410,97,54.48914000,26339.06570300
25,1561282500000,483.51000000,484.39000000,483.35000000,483.57000000,81.43646000,1561282559999,39391.48104000,86,12.92950000,6257.81405460
26,1561282560000,483.87000000,484.64000000,483.59000000,484.06000000,71.55346000,1561282619999,34656.93053770,44,52.32772000,25349.97281480
27,1561282620000,484.37000000,484.62000000,483.56000000,483.59000000,54.78409000,1561282679999,26513.74012760,75,20.06435000,9707.87705220
28,1561282680000,483.59000000,484.65000000,483.58000000,484.50000000,27.70138000,1561282739999,13413.71838130,46,7.97877000,3865.24849920
29,1561282740000,484.44000000,484.56000000,483.78000000,483.78000000,41.48193000,1561282799999,20079.70039280,30,0.07738000,37.49525280
30,1561282800000,484.03000000,484.38000000,483.75000000,483.84000000,57.81052000,1561282859999,27984.25597160,50,27.98710000,13550.29517500
31,1561282860000,483.76000000,483.76000000,482.77000000,483.04000000,42.73546000,1561282919999,20649.43360920,35,1.50655000,727.93258850
32,1561282920000,483.16000000,483.69000000,483.16000000,483.47000000,30.10260000,1561282979999,14554.76784480,32,23.99746000,11603.31762910
33,1561282980000,483.51000000,483.77000000,483.13000000,483.15000000,29.55535000,1561283039999,14287.79420450,40,4.42715000,2140.73025280
34,1561283040000,483.45000000,483.50000000,483.10000000,483.24000000,23.00938000,1561283099999,11120.70964300,23,10.64578000,5146.28567780
35,1561283100000,483.20000000,483.20000000,481.05000000,481.05000000,154.32481000,1561283159999,74365.62986650,130,63.75783000,30711.57325710
36,1561283160000,481.06000000,481.74000000,481.06000000,481.31000000,58.26527000,1561283219999,28050.51324110,67,40.32773000,19416.29200240
37,1561283220000,481.27000000,481.35000000,480.96000000,480.99000000,25.86639000,1561283279999,12444.59156590,37,14.99705000,7216.11758010
38,1561283280000,481.03000000,482.46000000,480.43000000,482.19000000,133.87537000,1561283339999,64478.82264480,108,87.68292000,42242.39039960
39,1561283340000,482.35000000,482.69000000,481.52000000,482.25000000,101.51415000,1561283399999,48942.51025990,125,52.36038000,25239.19862770
40,1561283400000,482.29000000,483.13000000,482.29000000,483.13000000,21.16063000,1561283459999,10215.94393900,33,5.34072000,2579.44751880
41,1561283460000,483.00000000,483.00000000,482.22000000,482.22000000,13.75823000,1561283519999,6638.75185130,22,0.06113000,29.51234140
42,1561283520000,482.41000000,482.69000000,481.83000000,482.51000000,36.90156000,1561283579999,17793.19101020,59,12.35095000,5958.07071340
43,1561283580000,482.35000000,482.67000000,482.15000000,482.67000000,10.24415000,1561283639999,4942.13668790,20,7.56333000,3649.33590560
44,1561283640000,482.45000000,482.96000000,482.02000000,482.57000000,24.34475000,1561283699999,11746.23700080,45,6.76875000,3267.36812920
45,1561283700000,482.39000000,482.48000000,481.72000000,481.73000000,41.33454000,1561283759999,19924.98921300,36,8.74158000,4216.27406440
46,1561283760000,481.98000000,481.99000000,481.50000000,481.94000000,26.11350000,1561283819999,12581.18752820,26,16.71982000,8056.04125160
47,1561283820000,482.05000000,482.32000000,481.71000000,482.32000000,14.72690000,1561283879999,7100.04978590,17,14.34992000,6918.38443210
48,1561283880000,482.34000000,482.99000000,482.22000000,482.94000000,29.47056000,1561283939999,14219.68629280,39,16.17470000,7806.51685810
49,1561283940000,482.94000000,483.04000000,482.94000000,483.04000000,3.35764000,1561283999999,1621.68550330,9,2.45690000,1186.68212770
50,1561284000000,483.04000000,483.23000000,482.83000000,482.95000000,25.76310000,1561284059999,12441.41830440,44,4.91131000,2372.23661910
51,1561284060000,482.95000000,482.95000000,482.56000000,482.63000000,17.33553000,1561284119999,8370.70667060,14,1.11432000,537.80426160
52,1561284120000,482.61000000,482.61000000,481.75000000,481.75000000,50.80713000,1561284179999,24489.51352690,12,0.59618000,287.69302980
53,1561284180000,482.02000000,482.47000000,481.59000000,482.00000000,59.76132000,1561284239999,28812.87565380,74,45.27659000,21831.14180490
54,1561284240000,482.03000000,482.08000000,481.23000000,481.36000000,57.64276000,1561284299999,27770.77397650,47,17.85652000,8603.28646340
55,1561284300000,481.45000000,481.64000000,481.45000000,481.64000000,6.49707000,1561284359999,3128.62797850,11,5.58762000,2690.62572620
56,1561284360000,481.72000000,481.80000000,481.53000000,481.53000000,11.96304000,1561284419999,5763.09943410,14,9.35837000,4508.71835240
57,1561284420000,481.76000000,481.78000000,481.56000000,481.56000000,2.32613000,1561284479999,1120.26215690,5,2.28464000,1100.28223250
58,1561284480000,481.40000000,481.40000000,480.35000000,480.66000000,5.69241000,1561284539999,2738.58176340,27,4.86053000,2338.83713370
59,1561284540000,480.45000000,480.56000000,480.18000000,480.20000000,23.67198000,1561284599999,11370.13386570,19,16.34049000,7849.68136230
60,1561284600000,480.20000000,480.20000000,478.50000000,479.10000000,114.41594000,1561284659999,54834.81441040,122,40.34930000,19336.88456390
61,1561284660000,479.24000000,479.83000000,478.52000000,479.83000000,94.52196000,1561284719999,45294.24024070,85,82.13970000,39360.96886410
